defect_type,defect_epsr,defect_radius_m,phi_deg,radial_frac,Emax,Eideal_Rin,enhancement
bubble,1.0,0.0002,0.0,0.4,6315938.132600523,4660012.009197089,1.355348037759402
bubble,1.0,0.0002,0.0,0.6,6316011.457162624,4660012.009197089,1.3553637726034231
bubble,1.0,0.0002,0.0,0.8,6316059.968723177,4660012.009197089,1.3553741827827224
bubble,1.0,0.0002,45.0,0.4,6315894.497941527,4660012.009197089,1.355338674122804
bubble,1.0,0.0002,45.0,0.6,6315837.778323265,4660012.009197089,1.3553265025622694
bubble,1.0,0.0002,45.0,0.8,6316001.106296033,4660012.009197089,1.3553615513931405
bubble,1.0,0.0002,90.0,0.4,6316089.825561103,4660012.009197089,1.3553805898129763
bubble,1.0,0.0002,90.0,0.6,6315861.858719987,4660012.009197089,1.3553316700160603
bubble,1.0,0.0002,90.0,0.8,6315965.553237829,4660012.009197089,1.3553539220011706
bubble,1.0,0.0002,135.0,0.4,6316159.481629355,4660012.009197089,1.3553955374285864
bubble,1.0,0.0002,135.0,0.6,6315951.966800785,4660012.009197089,1.355351006464254
bubble,1.0,0.0002,135.0,0.8,6315936.26406342,4660012.009197089,1.355347636786808
bubble,1.0,0.0005,0.0,0.4,6315891.190913197,4660012.009197089,1.3553379644619012
bubble,1.0,0.0005,0.0,0.6,6315685.798248174,4660012.009197089,1.355293888896298
bubble,1.0,0.0005,0.0,0.8,6315689.401526364,4660012.009197089,1.3552946621299684
bubble,1.0,0.0005,45.0,0.4,6315054.302472218,4660012.009197089,1.3551583751305158
bubble,1.0,0.0005,45.0,0.6,6314825.482694363,4660012.009197089,1.3551092723004368
bubble,1.0,0.0005,45.0,0.8,6314959.438545356,4660012.009197089,1.3551380181171273
bubble,1.0,0.0005,90.0,0.4,6315782.051522857,4660012.009197089,1.3553145440522274
bubble,1.0,0.0005,90.0,0.6,6315567.200746534,4660012.009197089,1.3552684388542369
bubble,1.0,0.0005,90.0,0.8,6315773.947360976,4660012.009197089,1.3553128049661767
bubble,1.0,0.0005,135.0,0.4,6315522.25230952,4660012.009197089,1.3552587932917521
bubble,1.0,0.0005,135.0,0.6,6315414.283561564,4660012.009197089,1.355235624092243
bubble,1.0,0.0005,135.0,0.8,6315573.588260723,4660012.009197089,1.3552698095619038
bubble,1.0,0.001,0.0,0.4,6315118.0344982715,4660012.009197089,1.3551720514957115
bubble,1.0,0.001,0.0,0.6,6314542.957398422,4660012.009197089,1.3550486447107688
bubble,1.0,0.001,0.0,0.8,6315002.358720423,4660012.009197089,1.3551472284313888
bubble,1.0,0.001,45.0,0.4,6312613.9170222515,4660012.009197089,1.354634688615299
bubble,1.0,0.001,45.0,0.6,6311211.707311117,4660012.009197089,1.354333786019261
bubble,1.0,0.001,45.0,0.8,6312078.498924329,4660012.009197089,1.3545197923238588
bubble,1.0,0.001,90.0,0.4,6315159.929676552,4660012.009197089,1.355181041854148
bubble,1.0,0.001,90.0,0.6,6314544.818066761,4660012.009197089,1.355049043994791
bubble,1.0,0.001,90.0,0.8,6314664.029249629,4660012.009197089,1.3550746257277637
bubble,1.0,0.001,135.0,0.4,6314558.552109965,4660012.009197089,1.3550519912067676
bubble,1.0,0.001,135.0,0.6,6313870.019327774,4660012.009197089,1.3549042377716192
bubble,1.0,0.001,135.0,0.8,6314336.521246837,4660012.009197089,1.3550043452215879
